id,term,category_parent,category_sub,name,professor,credit
30288,Ｓ,基礎科目,既修外国語,ドイツ語一列①,高橋 亮介,2.0
30289,Ｓ,基礎科目,既修外国語,フランス語一列①,COUCHOT Herve,2.0
30290,Ｓ,基礎科目,既修外国語,中国語一列①,林 少陽,2.0
30291,Ｓ,基礎科目,初修外国語,ロシア語一列①,濵田 華練,2.0
30292,Ｓ,基礎科目,情報,情報,松島 慎,2.0
30295,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,英語中級（クラス指定セメスター型）,河合 祥一郎,2.0
30296,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,英語中級（クラス指定セメスター型）,エリス 俊子,2.0
30297,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,英語中級（クラス指定セメスター型）,遠藤 泰生,2.0
30298,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,英語中級（クラス指定セメスター型）,寺澤 盾,2.0
30299,Ｓ,総合科目,Ｌ（言語・コミュニケーション）,英語中級（クラス指定セメスター型）,矢田部 修一,2.0
30300,Ｓ,基礎科目,情報,情報,小穴 英廣,2.0
30301,Ｓ,基礎科目,初修外国語,中国語一列①,斉 金英,2.0
30302,Ｓ,基礎科目,既修外国語,英語二列Ｗ（ALESS）,ROBB Nigel,2.0
30303,Ｓ,基礎科目,既修外国語,英語二列Ｗ（ALESS）,NADADUR KANNAN Rajalakshmi,2.0
30304,Ｓ,基礎科目,既修外国語,英語二列Ｗ（ALESS）,RUIZ TADA Elisa,2.0
30305,Ｓ,基礎科目,既修外国語,英語二列Ｗ（ALESS）,神島 智子,2.0
30306,Ｓ,基礎科目,既修外国語,英語二列Ｗ（ALESS）,ジェームズ エリンガー,2.0
30307,Ｓ,基礎科目,既修外国語,英語二列Ｗ（ALESS）,モレノ ペナランダ ラケル,2.0
30308,Ｓ,基礎科目,既修外国語,英語二列Ｗ（ALESS）,SEDDON Ryan John,2.0
30309,Ｓ,基礎科目,初修外国語,スペイン語一列①,網野 徹哉,2.0
